compound_lemma	order	cosine_head	cosine_mod	cosine_0:100	cosine_100:0	cosine_50:50	cosine_isolate.mul	cosine_isolate.add	cosine_best	weight_best	freq.w1&w2	freq.w1	freq.w2	pmi.w1&w2	ppmi.w1&w2	source	compound_surface	compound_lemmapos	headLemma	modifierLemma	nAnnot	compositionalityHead	stdevHead	compositionalityModifier	stdevModifier	compositionality	stdevHeadModifier	equivalents	sqerr_head	sqerr_mod	sqerr_50:50	sqerr_best
coup_franc	H_M	0.25196	0.11042	0.11042	0.25196	0.23527	0.1668	0.18119	0.26012	0.78464:0.21536	3110	540571	115393	4.22782	4.22782	N/A	coup_franc	coup/n_franc/a	coup	franc	14	3.2143	1.5281	1.6429	1.7805	1.7143	1.6375	tir de pénalité(5);pénalité(2);tir de pénalité.(2);sanction contre les joueurs en faute(1);tir direct(1);sanction(1);jeu de touche(1);passe a l'arrêt(1);tir de compensation(1);free kick(1);tire(1);pénalité sportive(1);penalty(1);coup de pénalité(1);sanction pénalisant une faute(1);coup de pied arrêté(1);loi 13 du football(1);lancé franc.(1);faute(1);tir au but(1);coup de pied de réparation(1);coup libre(1)	0.0002849344	0.0513611569	0.075501300625	0.08248384
courrier_électronique	H_M	0.64638	0.53126	0.53126	0.64638	0.70667	0.586	0.58882	0.7143	0.61099:0.38901	17190	197162	339963	5.86563	5.86563	N/A	courrier_électronique	courrier/n_électronique/a	courrier	électronique	14	4.5714	0.6462	4.5000	0.7596	4.5714	0.6462	courriel(9);email(6);e mail(5);mél(2);lettre(1);message numérique(1);correspondance tapée à l'ordinateur(1);message digital(1);lettre par ordinateur(1);documents envoyés électroniquement(1);message électronique(1);couriel(1);Émail(1)	0.0082973881	0.0180552969	0.003714293025	0.0032638369
court_circuit	M_H	0.28375	0.11988	0.28375	0.11988	0.27015	0.18444	0.20182	0.29694	0.24362:0.75638	2494	299904	147278	4.35227	4.35227	N/A	court_circuit	court/a_circuit/n	circuit	court	13	3.1538	2.1926	1.2308	1.5359	1.6923	1.7022	court jus(3);shunt(2);dérivation(2);mauvais connexion(1);danger(1);mauvais branchement électrique(1);contact électrique(1);electrocution(1);coupure de circuit(1);surcharge(1);courant(1);défaut de l'isolement électrique(1);défaut(1);fusible(1);problème électrique(1);panne électrique(1);courant de défaut(1);probleme(1);incident électrique(1);pétage de plomb(1);accidentelle(1);flux(1);malfonctionnement électrique(1);reaction infavorable(1)	0.000123543225	0.0984578884	0.087980458225	0.0961062001
court_métrage	M_H	0.5499	0.090318	0.5499	0.090318	0.41406	0.22286	0.32011	0.5499	0:1	10777	299904	35343	7.24301	7.24301	N/A	court_métrage	court/a_métrage/n	métrage	court	11	1.9091	1.6404	4.0909	1.5783	2.3636	1.5667	petit film(5);film de courte durée(4);film court(3);court film(2);film de format court(1);film de durée de trente minutes(1);film amateur(1);film de 20 minutes ou moins(1);bande annonce(1);moins de trente minutes(1);film de durée réduite(1);mini film(1);film(1)	0.1545511969	0.074540466441	0.0549011761	0.0913429729
crème_frais	H_M	0.51957	0.29191	0.29191	0.51957	0.47271	0.38945	0.40574	0.52218	0.89258:0.10742	7578	94390	391965	5.6408	5.6408	N/A	crème_fraîche	crème/n_frais/a	crème	fraîche	11	5.0000	0.0000	3.6364	1.2863	3.7273	1.2721	crème pasteurisée(3);crème épaisse(2);crème de lait(2);blanc(1);crème aigre(1);crème crue(1);crème double(1);crème entière(1);sauce blanche(1);crème amère(1);matière grasse du lait(1);yaourt(1);écrémage du lait(1);fleur de lait(1);mousse de lait(1);gras du lait(1);crème battue(1);crème blanche(1);produit laitier(1);epaisse(1)	0.057703246225	0.006613755625	8.2901025e-05	0.0002442969
crème_glacé	H_M	0.39546	0.20107	0.20107	0.39546	0.36191	0.28199	0.29827	0.40054	0.84496:0.15504	636	94390	11610	6.6823	6.6823	N/A	crème_glacée	crème/n_glacé/a	crème	glacée	12	4.2500	0.6216	4.9167	0.2887	4.7500	0.4523	glace(7);tranche napolitaine(2);lait glace(2);sorbet(2);crème dessert(1);creme congelée(1);crème à la glace(1);bombe glacée(1);crème(1);mousse(1);lait glacé(1);gâteau glacé(1);entremet(1);dessert glacé(1);glace à l'italienne(1)	0.0231861529	0.146539668025	0.072385212025	0.0623650729
dernier_cri	M_H	0.058117	-0.0080443	0.058117	-0.0080443	0.034454	0.0	0.025036	0.058117	0:1	1528	1595220	62137	3.05401	3.05401	N/A	dernier_cri	dernier/a_cri/n	cri	dernier	12	0.1667	0.3892	3.0000	2.0000	0.6667	1.0731	à la mode(5);en vogue(5);nouveau(2);dernière tendance(1);à la pointe(1);dernier sorti(1);tout nouveau(1);dernière technologie(1);à la dernière mode(1);hi tech(1);mode(1);nouveauté(1);succès récent(1);ultime(1);dérnière mode(1);nec plus ultra(1);dernière mode(1);a la mode(1);nouvelle mode(1);moderne(1)	0.245736831242	0.0108206076906	0.147369228769	0.156593131242
dernier_mot	M_H	0.32288	0.248	0.32288	0.248	0.37963	0.28297	0.28544	0.38385	0.4147:0.5853	5644	1595220	858580	1.73471	1.73471	N/A	dernier_mot	dernier/a_mot/n	mot	dernier	11	3.0909	1.6404	3.7273	1.4894	3.0909	1.3751	décision(3);conclusion(3);mot de la fin(2);réponse définitive(2);décision finale(2);ultime concession(2);dernière parole(2);denier a parler(1);choix final(1);rien à ajouter(1);éprouver(1);finalité(1);fin de conversation brute(1);raison(1);vaincre(1);obtenir(1);décret(1)	0.0018714276	0.0147525316	0.005131573225	0.005438325025
directeur_général	H_M	0.7973	0.48851	0.48851	0.7973	0.73392	0.62409	0.64291	0.80069	0.89605:0.10395	52557	687523	1729826	4.10719	4.10719	N/A	directeur_général	directeur/n_général/a	directeur	général	15	5.0000	0.0000	3.4667	1.4075	3.8667	0.9155	chef d'entreprise(4);patron(4);administrateur(3);pdg(3);gouverneur(3);gérant(2);dg(2);président(2);administrateur délégué(2);chef(2);directeur d'une organisation(1);president directeur général(1);proviseur(1);boss(1);responsable general(1);responsable(1);chief executive officer(1);président directeur(1);chef de service(1)	0.0102718225	0.002592337225	0.0087647044	0.016130270025
disque_dur	H_M	0.50993	0.097906	0.097906	0.50993	0.39964	0.22344	0.30392	0.51026	0.96484:0.035158	22635	158763	185284	6.96436	6.96436	N/A	disque_dur	disque/n_dur/a	disque	dur	12	4.0000	1.4771	2.3333	1.2309	2.8333	0.9374	disque rigide(3);disque magnétique(2);mémoire de masse(2);disque fixe(2);disque de stockage(2);disque fix(1);mémoire(1);appareil de stockage(1);stockage de masse(1);disque électro magnétique(1);memoir(1);disque(1);disquette(1);lecteur(1);stockage informatique(1);bureau(1);disque pour ordinateur(1);mémoire d'ordinateur(1);disque de données(1);lecteur et enregistreur informatique(1);stockage sur ordinateur(1)	0.002028151225	0.006772137849	0.0177315856	0.0355209409
douche_froid	H_M	0.23277	0.19903	0.19903	0.23277	0.27273	0.21524	0.2159	0.27412	0.56558:0.43442	626	43842	184888	4.66542	4.66542	N/A	douche_froide	douche/n_froid/a	douche	froide	11	1.2727	1.7373	1.3636	1.7477	1.1818	1.7787	déconvenue(6);mauvaise surprise(5);déception(2);choc(1);douche glacée(1);eau froide(1);accueil glacial(1);inattendue(1);désagréable surprise(1);désillusion(1);douche écossaise(1);surpnqnt(1);émoi(1);défaite(1);étonnent(1);choc mental(1);honte(1)	0.130931804025	0.106794972025	0.160004000025	0.16056049
droit_fondamental	H_M	0.55379	0.31788	0.31788	0.55379	0.53568	0.41957	0.43584	0.57281	0.765:0.235	12413	2036771	216718	3.65519	3.65519	N/A	droit_fondamental	droit/n_fondamental/a	droit	fondamental	11	5.0000	0.0000	4.0000	1.6733	4.2727	1.5551	droits de l'homme(3);libertés fondamentales(2);privilège(2);droit naturel(1);droits élémentaires(1);droit universel.(1);droit irréfutable(1);droits essentiels(1);droit premier(1);droits primordiaux(1);privilège légitime de base.(1);droit innaliénable(1);laissez passer(1);dû(1);droit absolu(1);droit imprescriptible(1);principe de droit(1);privilège légal.(1);droit constituionnel(1);droit individuel(1)	0.049775841025	0.0198979236	0.00751689	0.004642378225
développement_économique	H_M	0.72069	0.6699	0.6699	0.72069	0.76582	0.69483	0.69529	0.76821	0.58568:0.41432	30201	1329795	839996	3.61586	3.61586	N/A	développement_économique	développement/n_économique/a	développement	économique	13	4.6154	0.8697	4.4615	0.8771	4.4615	0.6602	croissance économique(7);évolution économique(2);essor(2);amélioration des conditions de vie(1);croître(1);prospérité(1);évolution positive(1);développement financier(1);développement de l'economie(1);industrialisation(1);évoluer(1);expansion économique(1);progression de l'économie(1);avancés économiques(1);reprise économique(1);augmentation des richesses(1);progrès économique(1);richesse(1);progrès(1)	0.003935680225	0.0032890225	8.81721e-05	6.7158025e-05
eau_chaud	H_M	0.55894	0.38109	0.38109	0.55894	0.55899	0.46152	0.47001	0.58263	0.72824:0.27176	13673	1237235	182796	4.42058	4.42058	N/A	eau_chaude	eau/n_chaud/a	eau	chaude	11	5.0000	0.0000	5.0000	0.0000	5.0000	0.0000	eau bouillante(4);eau chauffée(3);eau à haute température(2);eau tiède(2);lavure(1);eau réchauffée(1);eau frémissante(1);eau bouillie(1);eau tempérée(1);eau à température élevée(1);eau brûlante(1);eau à température élevé(1);eau chauffer(1);flot(1);chauffage de l'eau(1)	0.0486334809	0.095762397025	0.048622455025	0.043549429225
eau_doux	H_M	0.60619	0.060993	0.060993	0.60619	0.4352	0.19228	0.33359	0.60619	1:0	8530	1237235	171944	4.00995	4.00995	N/A	eau_douce	eau/n_doux/a	eau	douce	15	4.8000	0.7746	2.2000	1.5675	2.3333	1.5430	eau non salée(8);eau potable(4);eau de source(4);eau consommable(2);eau plat(1);rivière(1);eau no salée(1);dulcicole(1);eau qui gèle(1);eau buvable(1);eau de rivière(1);glacier(1);eau qui n'est pas de sel(1);eau continentale(1);eau frais(1);eau d'evier(1);eau du lac ou fleuve(1);eau non saline(1);eau des rivières et lacs(1)	0.024619179025	0.00818961651225	0.0629708836	0.113188509225
eau_minéral	H_M	0.43156	0.25708	0.25708	0.43156	0.41191	0.33308	0.34432	0.44151	0.79382:0.20618	3957	1237235	53588	4.40769	4.40769	N/A	eau_minérale	eau/n_minéral/a	eau	minérale	13	4.8462	0.5547	3.6923	1.3156	4.0000	1.1547	eau de source(6);eau naturelle(4);eau plate(3);eau de montagne(2);eau gazéifiée(1);boire de l'eau(1);eau bicarbonatée(1);eau riche en sels minéraux(1);eau de source de montagne(1);eau conditionnée(1);eaux de source(1);eau minéralisée naturellement(1);eau bonne à boire(1);vichy(1);eau d'origine souterraine(1);boisson(1);eaux minérales(1);eau gazeuse/plate(1);eau non gazeuse(1)	0.0642419716	0.0120824064	0.008844462025	0.006279770025
eau_potable	H_M	0.57597	0.39592	0.39592	0.57597	0.58191	0.47753	0.48594	0.60448	0.71346:0.28654	19810	1237235	39354	6.32712	6.32712	N/A	eau_potable	eau/n_potable/a	eau	potable	14	5.0000	0.0000	5.0000	0.0000	5.0000	0.0000	eau buvable(10);eau de consommation(3);eau du robinet(3);eau consommable(3);eau saine(2);eau propre à la consommation(1);eau fraiche(1);eau de boisson(1);eau consumable(1);flot(1);eau minérale(1);eau q'on peut boire(1);eau propre(1);boisson(1);eau propre qu'on peut boire sans danger(1)	0.044950360225	0.0912281616	0.043699812025	0.0391090176
eau_vif	H_M	0.26737	0.022957	0.022957	0.26737	0.20876	0.078344	0.14516	0.26925	0.89407:0.10593	2173	1237235	131423	2.91122	2.91122	N/A	eau_vive	eau/n_vif/a	eau	vive	9	5.0000	0.0000	3.5556	1.5899	3.4444	1.1304	rivière(3);cours d'eau(3);eau mouvante(2);eau agitée(1);eau qui coule de source(1);rivière rapide(1);rapides(1);eau courante(1);eaux tumultueuses(1);eau tumultueuse(1);rapide(1);torrents(1);mouvement dans le cours d'une rivière(1);eau en mouvement(1);eaux agitees(1)	0.134186679225	0.0398567285223	0.00714025	0.002943605025
eau_fort	H_M	0.078733	-0.019826	-0.019826	0.078733	0.038562	0.0	0.029453	0.078733	1:0	1565	1237235	824996	0.746036	0.746036	N/A	eau_forte	eau/n_fort/a	eau	forte	10	1.3000	1.4181	1.5000	1.6499	0.9000	1.2867	gravure(6);acide nitrique(3);estampe(3);aquatinte(2);taille douce(2);imprime(1);gravure à lâeau forte(1);lithographie(1);gravure à l'acide(1);gravure utilisant l'acide nitrique(1);gravure en taille douce(1);solution acide(1);image(1)	0.0780456413222	0.036133067569	0.115111596961	0.129144281322
eau_usé	H_M	0.65751	0.296	0.296	0.65751	0.6002	0.44116	0.47675	0.6699	0.8241:0.1759	8532	1237235	21302	6.09855	6.09855	N/A	eaux_usées	eau/n_usé/a	eaux	usées	13	5.0000	0.0000	4.3077	0.8549	4.5385	0.6602	eaux polluées(5);eaux d'égouts(5);eaux sales(4);déchets liquides(2);eaux souillées(1);eaux domestiques(1);eaux résiduaires(1);eaux ménagères(1);eau sale(1);effluents liquides(1);eaux d'égout(1);tout à l'égoût(1);effluents urbains(1);eau aprés utilisation(1);eaux grises(1);eaux utilisées(1);vidanges(1);effluents(1);eaux noires(1);eaux vannes(1)	0.029324850025	0.0455993316	0.01157776	0.0052925625
effet_spécial	H_M	0.059056	0.0027149	0.0027149	0.059056	0.044429	0.012662	0.030886	0.059243	0.92649:0.073505	6452	1129950	286638	3.3104	3.3104	N/A	effet_spécial	effet/n_spécial/a	effet	spécial	6	4.6667	0.8165	4.0000	1.0954	3.6667	0.8165	trucage(5);illusion(2);effets additionels(1);illusion d'images ou de son(1);machinerie(1);illusions cinématographiques(1);effet sensationnel(1);cinéma fantastique(1);illusion visuelle(1)	0.163064131344	0.0891873726705	0.0445739767502	0.0415012272423
expérience_professionnel	H_M	0.53476	0.63695	0.63695	0.53476	0.69829	0.58362	0.58585	0.70458	0.39634:0.60366	16989	644841	1298383	3.32885	3.32885	N/A	expérience_professionnelle	expérience/n_professionnel/a	expérience	professionnelle	14	4.7143	0.6112	5.0000	0.0000	4.8571	0.3631	parcours professionnel(2);carrière(2);professionnalisme(2);pratique professionnelle(2);antécédents du travaile(1);expérience de travaille(1);formation professionnelle(1);insertion professionnelle(1);apprentissage(1);technicité(1);antécédents de travail(1);historique professionnel(1);maturité professionnelle(1);familiarité(1);competence(1);compétence acquise(1);travail(1);pratique(1);vécu(1);expérience en entreprise(1);qualifications(1);expérience de travail(1);antécédent(1);emplois précédents(1);cursus professionnel(1);expérience acquise sur le tas(1);qualification(1);histoire du travail(1)	0.0307932304	0.032951325625	0.014951175625	0.0141919569
fait_divers	H_M	0.17056	-0.076297	-0.076297	0.17056	0.075282	0.0	0.047131	0.17056	1:0	5200	942715	506306	2.70692	2.70692	N/A	fait_divers	fait/n_divers/a	fait	divers	13	4.0769	1.2558	3.5385	1.2659	3.6923	1.1094	fait(2);rubrique des chiens écrasés(2);évènement d'importance secondaire(1);événement secondaire(1);rubrique des nouvelles inclassables(1);chiens écrasés(1);rubrique concernant des gens banals(1);fait sans importance(1);nouvelles de société(1);événement sans grand intérêt(1);nouvelles variées(1);évéments(1);événement(1);actualité(1);histoire maccabre(1);nouvelles de moindre importance(1);journal(1);gazette(1);evenement(1);incident(1);accident sans grand intérêt(1);agissement(1);nouvelles du quotidien(1);évênement(1);faits quotidiens(1);magazine(1);incidents(1);Évènement(1)	0.05294601	0.0604414849523	0.040328270761	0.0234641124
famille_nombreux	H_M	0.3893	0.14571	0.14571	0.3893	0.33207	0.23817	0.26751	0.39054	0.92084:0.079156	3653	750523	930411	1.97332	1.97332	N/A	famille_nombreuse	famille/n_nombreux/a	famille	nombreuse	10	5.0000	0.0000	4.8000	0.6325	4.9000	0.3162	grande famille(7);lignage(2);clan(1);famille avec plusieurs membres(1);parentèle(1);dynastie(1);famille de plus de 3 enfants(1);famille à naissance multiples(1);descendance(1);famille avec beaucoup d'enfants(1);famille traditionnelle(1);famille multiple(1);group de famille nombreuse(1);famille de plus de 5 personnes(1);famille composée de plus de 3 enfants(1);foyer(1);enfants multiples(1)	0.0932386225	0.149881251025	0.098574021225	0.0810711729
faux_ami	M_H	0.043816	0.057978	0.043816	0.057978	0.06861	0.050402	0.050897	0.069418	0.58512:0.41488	427	156631	598120	1.83551	1.83551	N/A	faux_ami	faux/a_ami/n	ami	faux	12	0.6667	0.7785	2.5000	1.8340	1.2500	1.4222	mot piège(2);mots qui se ressemblent(1);hypocrite(1);contresens(1);faux synonymes(1);significations différentes(1);faux cul(1);mot similaire mais avec sens différent(1);ressemblance trompeuse(1);ennemi(1);mot non transparent(1);mot ne correspondant pas à un autre(1);homonyme étranger(1);sens trompeur(1);mots faussement équivalentes(1);mots apparentés(1);cognates apparentes(1);mots proche(1);homophone(1);mal fait(1)	0.150985090624	0.000840362121	0.080829333025	0.081059214681
faux_cul	M_H	0.30164	0.19426	0.30164	0.19426	0.31636	0.24207	0.24795	0.32796	0.32757:0.67243	515	156631	23996	5.2388	5.2388	N/A	faux_cul	faux/a_cul/n	cul	faux	13	0.6154	1.3868	1.8462	1.9936	0.3077	0.6304	hypocrite(11);fourbe(3);faux derche(3);menteur(2);insincère(1);tartuffe(1);pas sincere(1);bigot(1);menteur manipulateur(1);malhonnête(1);faux frère(1);personne fausse(1);simulateur(1);hypocritr(1)	0.2785095076	0.0519338521	0.3559792896	0.3629339536
faux_pas	M_H	0.28104	0.18326	0.28104	0.18326	0.2758	0.22694	0.23215	0.29028	0.24402:0.75598	4160	156631	12367644	1.08295	1.08295	N/A	faux_pas	faux/a_pas/n	pas	faux	11	1.7273	1.2721	2.3636	1.8040	1.8182	1.0787	erreur(9);faute(3);maladresse(2);gaffe(2);faiblesse(1);comportement répréhensible(1);violation(1);écart(1);geste inapproprié(1);écart de conduite(1);mauvais choix(1);raté(1);erreur de jugement(1)	0.0870604036	0.0141395881	0.0752185476	0.07924225
faux_semblant	M_H	0.25515	0.2734	0.25515	0.2734	0.32358	0.26412	0.26428	0.32396	0.53461:0.46539	807	156631	12032	6.37827	6.37827	N/A	faux_semblant	faux/a_semblant/n	semblant	faux	14	3.7857	1.7177	3.8571	1.6104	3.5714	1.4525	tromperie(4);ruse(4);hypocrisie(3);mensonge(2);apparence trompeuse(2);aspect trompeur(2);apparence(2);prétexte mensonger(2);trompeur(1);mensonage(1);violation(1);manipulation(1);tartufferie(1);tartuferie(1);simulacre(1);délit(1);affectation(1);semblant(1);moyens frauduleux(1)	0.016787089225	0.0181494784	0.0027552001	0.00273529
feu_rouge	H_M	0.25699	0.21691	0.21691	0.25699	0.28045	0.2361	0.23695	0.28294	0.60548:0.39452	2403	267739	321149	3.64896	3.64896	N/A	feu_rouge	feu/n_rouge/a	feu	rouge	15	1.5333	1.9223	4.9333	0.2582	2.6000	1.7238	signal d'arrêt(5);stop(3);signal de danger(2);arrêt obligatoire(2);feu de signalisation(2);feu d'arrêt(2);feu de circulation(2);arret(1);arrêt(1);feu de signalistion(1);rouge(1);sémaphore(1);interdiction de passer(1);interdiction(1);lueur(1);stopper le véhicule(1);lampe(1);feu tricolore(1);feux de circulation routière(1);inderdiction(1);signe d'arret(1);lumière rouge(1)	0.103577767225	0.143039022025	0.014454050625	0.0147549609
feu_vert	H_M	0.012092	0.074977	0.074977	0.012092	0.055025	0.03011	0.043534	0.074977	0:1	4714	267739	335803	4.27816	4.27816	N/A	feu_vert	feu/n_vert/a	feu	vert	14	0.3571	0.6333	1.5000	1.9513	0.7143	0.9139	autorisation(9);accord(6);permission(5);approbation(2);autoriser(2);feu de passage(1);possibilité d'entreprendre(1);aval(1);permis(1);lumière verte(1);liberté d'agir(1);autorisation pour débuter(1);avoir la liberté d'agir(1);avoir toute liberté d'agir(1)	0.188899759876	0.0564007876323	0.147957545756	0.155731653012
fil_conducteur	H_M	0.20102	-0.098318	-0.098318	0.20102	0.072371	0.0	0.051349	0.20102	1:0	3534	296268	90806	5.1966	5.1966	N/A	fil_conducteur	fil/n_conducteur/a	fil	conducteur	12	1.1667	0.9374	2.5833	1.6765	1.2500	0.8660	fil d'ariane(3);clé(2);thème(2);indice(1);idée centrale(1);theme principal(1);point récurent(1);clef(1);principal(1);cle(1);idée(1);essentiel(1);suite d'événements(1);directeur(1);idée maitresse(1);cours d'une histoire(1);ce qui guide(1);fil à suivre(1);fil rouge(1);thème dominant(1);guide(1);continuité(1);intrigue(1)	0.1348138089	0.004332140761	0.0819021404102	0.1228572601
fleur_bleu	H_M	0.29199	0.20921	0.20921	0.29199	0.30386	0.24716	0.2506	0.31255	0.67563:0.32437	877	184316	224971	3.37029	3.37029	N/A	fleur_bleue	fleur/n_bleu/a	fleur	bleue	11	0.6364	0.8090	0.5455	1.2136	0.4545	0.9342	sentimental(5);romantique(4);sentimentale(3);tendre(3);midinette(1);enfantin(1);cul cul(1);romanesque(1);idéaliste(1);naïf(1);naif(1);sentimentel(1);fan de romance(1)	0.269065251225	0.245525205025	0.3147546609	0.319648890625
foie_gras	H_M	0.32202	0.32742	0.32742	0.32202	0.38515	0.32471	0.32472	0.38519	0.48978:0.51022	9678	41382	93184	8.1466	8.1466	N/A	foie_gras	foie/n_gras/a	foie	gras	13	4.8462	0.5547	4.5385	0.7763	4.5385	0.6602	pâté de foie(3);pâté de foie d'oie(2);pâté(1);bloc de foie gras(1);pâté de fois gras(1);terrine(1);charcuterie molle(1);foie d'oie gavée(1);pate de foie gras(1);foie hypertrophié(1);pâté foie de canard(1);pâté de luxe(1);foie avec gras(1);oie engraissé(1);foie de canard gavé(1);plat(1);foie engraissé(1);foie hypertrophié d'oie(1);mousse de foie(1);foie engraissé par gavage(1);pâté de foie gavé(1);nourriture à base de foie(1);foie d'oie ou canard(1);foie de canard(1);foie hypertrophié d'oie ou de canard(1);foie cyrrhosé(1);foie gras d'oie(1);pâté de foie de canard(1)	0.0950057329	0.0595311201	0.046278765625	0.046270161025
fou_rire	M_H	0.58118	0.38972	0.58118	0.38972	0.5441	0.47592	0.48545	0.58393	0.11515:0.88485	2828	96317	143626	5.63888	5.63888	N/A	fou_rire	fou/a_rire/n	rire	fou	12	4.9167	0.2887	2.0000	1.4771	2.3333	1.3027	rire incontrôlable(5);rire intense(3);crise de nerfs(2);rire incontrolable(2);rire sans se contrôler(2);éclat de rire(2);grand éclat de rire(1);rire impossible à maitriser(1);rire aux éclat(1);rire(1);rire incontrôlé(1);éclater de rire(1);gros rire(1);rire nerveux(1);rire hystérique(1);rire qu'on ne peut arrêter(1)	0.0371525625	0.0869424196	0.0932630521	0.105823343025
grand_air	M_H	0.22292	0.22378	0.22292	0.22378	0.29822	0.22335	0.22335	0.29822	0.50123:0.49877	2026	3014032	482053	0.651139	0.651139	N/A	grand_air	grand/a_air/n	air	grand	15	3.2000	1.8205	1.6000	1.6388	1.3333	1.4475	plein air(9);dehors(8);air frais(4);air libre(2);dans la nature(1);exterieure(1);pleine nature(1);nature(1);extérieur(1);air de la compagne(1);grande étendue(1);éxterieur(1);air de la campaigne(1);libre(1);air de la campagne(1);à l'extérieur(1)	0.0008145316	0.0851997721	0.1462680025	0.1462680025
grand_jour	M_H	0.17047	0.14821	0.17047	0.14821	0.2126	0.15895	0.15934	0.21327	0.45524:0.54476	7392	3014032	2395767	0.342069	0.342069	N/A	grand_jour	grand/a_jour/n	jour	grand	14	2.1429	1.9158	1.1429	1.0271	1.0714	1.1411	ouvertement(3);visible(2);jour j(2);publiquement(2);révéler à tout le monde(1);étalalage(1);evenment important(1);date immanquable(1);lumière(1);evidente(1);d'une manière éclatante(1);clairement(1);jour tant attendu(1);dévoilé(1);vu de tous(1);jour speciale(1);jour(1);événement(1);pleine lumière(1);connu(1);au su de tout(1);lumiere(1);moment inoubliable(1);révéler(1);mettre en lumière(1);au vu de tous(1);montrer avec obstentation(1);mis en lumière(1);a la vue de tous(1)	0.024540789025	0.119387525625	0.1536796804	0.153942446025
grand_saut	M_H	0.26965	0.1194	0.26965	0.1194	0.25809	0.17943	0.19452	0.28228	0.24602:0.75398	1074	3014032	37077	2.58152	2.58152	N/A	grand_saut	grand/a_saut/n	saut	grand	12	2.0833	1.7299	2.8333	1.9924	2.1667	1.7495	grand changement(2);début de quelque chose de nouveau(1);passage initiatique(1);prendre le risque(1);saut dans l'inconnu(1);risque(1);prise de risque(1);s'aventurer(1);passer une etape(1);decision gigantesque(1);faire un pas(1);grand bon(1);décéder(1);enjambée(1);chalenge(1);décision irrévocable(1);important(1);avancer vers(1);se lancer(1);défi(1);grand effort(1);pas en avant(1);mourir(1);grand pas(1);bond(1)	0.047595967225	4.84416e-05	0.038300447025	0.04318084
grand_écran	M_H	0.481	0.24179	0.481	0.24179	0.49748	0.34103	0.36139	0.52704	0.31509:0.68491	5483	3014032	226062	2.40397	2.40397	N/A	grand_écran	grand/a_écran/n	écran	grand	14	3.4286	1.5549	3.6429	1.7368	3.1429	1.8752	cinéma(9);écran de cinéma(2);film(2);septième art(1);television(1);écran de cinéna(1);pas la télévision(1);amphithéâtre(1);cinema(1);endroit pour films(1);films pour le cinéma(1);large(1);cinématographe(1);monde du cinéma(1);projection(1);ciné(1);projection de film(1);films cinématographiques(1);écran d'argent(1)	0.0030008484	0.011596059225	0.0144384256	0.0182088036
grand_entreprise	M_H	0.52215	0.12807	0.52215	0.12807	0.44994	0.25859	0.32511	0.53263	0.16894:0.83106	18378	3014032	1875288	1.49777	1.49777	N/A	grande_entreprise	grand/a_entreprise/n	entreprise	grande	13	4.9231	0.2774	4.6154	0.8697	4.5385	0.6602	multinationale(6);société(3);corporation(2);conglomérat(2);multinational(1);grande sociéte(1);entreprise de plus de 500 employés(1);large organisation(1);organisation(1);usine florissante(1);sociétés(1);entreprise pas petite(1);grand compte(1);affaire(1);géant(1);fleuron de l'industrie(1);grand groupe(1);établissement(1);grande institution(1)	0.049972367025	0.128913312025	0.0333902529	0.019989718225
grand_surface	M_H	0.3671	0.20368	0.3671	0.20368	0.36006	0.27344	0.28539	0.38419	0.2581:0.7419	8897	3014032	278705	2.67869	2.67869	N/A	grande_surface	grand/a_surface/n	surface	grande	14	3.2143	1.6257	4.5714	0.6462	3.1429	1.5619	supermarché(9);hypermarché(8);grand magasin(7);commerce(1);magasin de libre service(1);supermarche(1);hypermarche(1);vente de grande dimension(1);grand magazin en libre service(1);centre commercial(1);grand supermarché(1);magasin(1)	0.0016556761	0.0976187536	0.0026471025	0.004034155225
grippe_aviaire	H_M	0.50691	0.58081	0.58081	0.50691	0.65881	0.5426	0.54386	0.66205	0.42731:0.57269	6845	25498	18532	9.89958	9.89958	N/A	grippe_aviaire	grippe/n_aviaire/a	grippe	aviaire	12	4.5833	1.4434	3.8333	1.8990	3.5833	1.8809	peste aviaire(4);influenza(2);grippe des oiseaux(2);h5n1(2);virus aviaire(2);maladie(1);grippe du poulet(1);maladie du poulet(1);maladie virale(1);grippe(1);grippe a(h1n1)(1);poulet(1);virus(1);malaise(1);h7n9(1);grippe h5n1(1);peste des volailles(1);rhume relatif aux oiseaux(1);grippe provenant des oiseaux.(1)	0.026635872025	0.000563825025	0.012711435025	0.013079353225
gros_mot	M_H	0.24259	0.10683	0.24259	0.10683	0.24084	0.16099	0.17471	0.26025	0.28423:0.71577	1552	457374	858580	1.69293	1.69293	N/A	gros_mot	gros/a_mot/n	mot	gros	15	4.4667	1.3020	0.8667	1.2459	1.4000	1.5024	injure(5);vulgarité(3);juron(3);insulte(3);grossièreté(2);mot grossier(2);mot obscène(2);obscénité(2);mot impoli(1);jurons(1);injures(1);grossierete(1);impiété(1);mots grossiés(1);grossièrité(1);expression grossière(1);mot déplacé(1);mot désagréable(1);immorale(1);grossier(1)	0.074008482025	0.144457005625	0.1158857764	0.122587515625
